Run_ID,AssayType,DIV,Well,NeuronType,Time,Chip_ID,Mean_FiringRate,Mean_SpikeAmplitude,Active_area,Mean_ISI,Std_ISI,Mean_ISI_CV,Mean_Fano,CHIP_WELL,is_outlier,expected_y,resid_expected,is_bad_residual,to_exclude
38,Sparse7x,13,1,MxWT,5/28/24 12:53,M07420,2.116834558,81.48651714,85.22727273,3.335938848,2.937525223,1.565215788,4.096955938,M07420_1,False,74.96969697,10.257575759999995,False,False
55,Sparse7x,16,1,MxHEMI,5/31/24 10:05,M07039,2.099948659,76.34211174,86.06060606,3.087744007,3.527799104,2.027756609,6.134351792,M07039_1,False,86.04545454666666,0.015151513333336197,False,False
55,Sparse7x,16,2,MxWT,5/31/24 10:05,M07039,2.045937065,76.23416461,83.37878788,3.558769892,3.033327485,1.651154978,4.554029775,M07039_2,False,90.04545454666666,-6.666666666666657,False,False
55,Sparse7x,16,3,FxHET,5/31/24 10:05,M07039,2.387863039,77.90022487,83.81818182,3.185845987,3.525550135,2.448780515,7.748935169,M07039_3,False,89.02020202,-5.202020199999993,False,False
55,Sparse7x,16,4,MxHEMI,5/31/24 10:05,M07039,1.759418998,78.59089368,85.01515152,3.307805046,3.327841877,1.933714905,5.736667383,M07039_4,False,86.04545454666666,-1.0303030266666582,False,False
55,Sparse7x,16,5,MxWT,5/31/24 10:05,M07039,1.477747891,71.47264499,76.04545455,5.079266034,4.762246411,1.918275591,5.359154621,M07039_5,True,90.04545454666666,-13.99999999666666,True,True
55,Sparse7x,16,6,FxHET,5/31/24 10:05,M07039,1.517196328,90.62442245,89.39393939,3.062090898,3.307610878,1.873049599,5.492682058,M07039_6,False,89.02020202,0.3737373700000006,False,False
51,Sparse7x,16,1,MxWT,5/31/24 9:09,M07420,2.229030022,101.411718,94.24242424,1.994152001,2.234829049,1.816267915,5.759785194,M07420_1,False,90.04545454666666,4.196969693333344,False,False
53,Sparse7x,16,1,MxWT,5/31/24 9:39,M07427,1.49726614,105.9319371,92.0,2.96515462,3.448736065,1.706975841,4.794841004,M07427_1,False,90.04545454666666,1.9545454533333384,False,False
53,Sparse7x,16,2,MxWT,5/31/24 9:39,M07427,1.851430068,107.8116407,94.03030303,2.232983908,2.481891977,1.648132691,4.40576797,M07427_2,False,90.04545454666666,3.9848484833333373,False,False
53,Sparse7x,16,3,MxWT,5/31/24 9:39,M07427,1.596597152,100.5154161,90.09090909,2.920888233,2.938013666,1.428622034,3.361812206,M07427_3,False,90.04545454666666,0.045454543333335096,False,False
53,Sparse7x,16,4,FxHET,5/31/24 9:39,M07427,4.091872203,105.1073855,97.06060606,0.926211891,1.872457499,4.134764149,12.47052007,M07427_4,False,89.02020202,8.040404039999999,False,False
53,Sparse7x,16,5,FxHET,5/31/24 9:39,M07427,1.515475022,109.7237712,92.60606061,2.267783678,3.499859778,2.54164367,7.337280058,M07427_5,False,89.02020202,3.585858590000001,False,False
53,Sparse7x,16,6,MxWT,5/31/24 9:39,M07427,4.888061282,109.2452193,97.74242424,0.913591637,1.222167815,2.690432307,11.80696413,M07427_6,False,90.04545454666666,7.696969693333344,False,False
57,Sparse7x,16,1,MxHEMI,5/31/24 10:31,M08018,2.664623656,81.202794,89.24242424,2.375879128,2.763441142,2.136235868,7.380719982,M08018_1,False,86.04545454666666,3.196969693333344,False,False
57,Sparse7x,16,2,MxWT,5/31/24 10:31,M08018,2.237005125,88.41451453,85.72727273,3.388695281,2.884849924,1.484720985,3.573298148,M08018_2,False,90.04545454666666,-4.318181816666666,False,False
57,Sparse7x,16,3,FxHET,5/31/24 10:31,M08018,2.389135675,82.53264089,88.0,3.029004177,3.035357389,1.927174995,6.053618042,M08018_3,False,89.02020202,-1.0202020199999993,False,False
57,Sparse7x,16,4,MxHEMI,5/31/24 10:31,M08018,2.324267724,82.11099059,81.21212121,3.529082472,3.478807859,1.954619208,6.10967848,M08018_4,False,86.04545454666666,-4.833333336666655,False,False
57,Sparse7x,16,5,MxWT,5/31/24 10:31,M08018,1.950074599,111.9824652,93.09090909,2.255315732,2.168504181,1.451842083,3.525044758,M08018_5,False,90.04545454666666,3.045454543333335,False,False
57,Sparse7x,16,6,FxHET,5/31/24 10:31,M08018,1.879409187,85.17302446,86.42424242,2.626508103,4.424143313,3.054145078,9.480174884,M08018_6,False,89.02020202,-2.5959596000000005,False,False
69,Sparse7x,20,1,MxHEMI,6/4/24 9:53,M07039,2.683315724,106.0108422,93.21212121,1.740074429,2.267572907,2.332574703,7.339057948,M07039_1,False,87.53535353833334,5.676767671666667,False,False
